rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,59043,7947,Python,https://github.com/langchain-ai/langchain,langchain-ai,2339,2023-08-18T03:16:51Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39838,5256,Python,https://github.com/binary-husky/gpt_academic,binary-husky,312,2023-08-17T13:14:39Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,22222,2455,Go,https://github.com/milvus-io/milvus,milvus-io,597,2023-08-18T03:11:18Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,MetaGPT,21999,2419,Python,https://github.com/geekan/MetaGPT,geekan,95,2023-08-17T16:02:29Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
5,LLM,JARVIS,21615,1897,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
6,LLM,llama_index,20211,2307,Python,https://github.com/jerryjliu/llama_index,jerryjliu,327,2023-08-18T03:06:09Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
7,LLM,quivr,20151,2137,TypeScript,https://github.com/StanGirard/quivr,StanGirard,231,2023-08-17T17:54:04Z,"Your Second Brain powered by Generative AI 🧠 Dump all your files and chat with it  ( GPT 3.5/4, Private, Anthropic, VertexAI, LLMs...) & Embeddings"
8,LLM,mindsdb,17584,2247,Python,https://github.com/mindsdb/mindsdb,mindsdb,555,2023-08-18T01:48:30Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15667,1504,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-08-16T07:06:21Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,15019,2100,Python,https://github.com/microsoft/unilm,microsoft,384,2023-08-11T14:21:40Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,chatbox,14245,1513,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,213,2023-08-17T14:18:07Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
12,LLM,Flowise,14134,5628,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,136,2023-08-17T22:18:27Z,Drag & drop UI to build your customized LLM flow
13,LLM,Langchain-Chatchat,14071,2290,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,580,2023-08-18T00:48:23Z,"Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ｜ 基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答"
14,LLM,Chinese-LLaMA-Alpaca,13968,1439,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,11,2023-08-14T07:10:55Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
15,LLM,dalai,12621,1426,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
16,LLM,mlc-llm,12096,847,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,115,2023-08-17T17:59:28Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
17,LLM,ChuanhuChatGPT,12022,1903,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,53,2023-08-16T18:07:37Z,GUI for ChatGPT API and many LLMs
